Job ID: 1.5.34.5702956011984257026 
Case: KLUMP045 BM TEST 
Appliance: www.xxxx.co.uk 
02/02/2016 15:22:22   Starting scheduled job: KLUMP045 BM TEST : Process documents from "Batch_0001" in batch "Batch_0001".
03/02/2016 01:10:41   www.xxxx.co.uk Indexer           Processed 60,830 documents (80.14 GB)
03/02/2016 01:11:11   www.xxxx.co.uk Indexer           Processed 61,505 documents (81.06 GB)
03/02/2016 01:12:01   www.xxxx.co.uk Indexer           Processed 62,034 documents (82.63 GB)
03/02/2016 01:13:21   www.xxxx.co.uk Indexer           Processed 62,557 documents (85.69 GB)
03/02/2016 01:19:42   www.xxxx.co.uk Indexer           Completed
03/02/2016 01:19:42   www.xxxx.co.uk System            Started transferring files to processing node(s) in preparation for Post-Processing
03/02/2016 01:19:42   www.xxxx.co.uk System            File transfer has completed
03/02/2016 01:19:43   www.xxxx.co.uk System            Total Progress: 11%
03/02/2016 01:19:43   www.xxxx.co.uk Validator         Starting component and waiting for resources
03/02/2016 01:19:54   www.xxxx.co.uk Validator         Started
03/02/2016 01:20:04   www.xxxx.co.uk Validator         Processing component: 11% complete. Next update in 15 seconds.
03/02/2016 01:20:24   www.xxxx.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
03/02/2016 01:20:44   www.xxxx.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
03/02/2016 01:21:04   www.xxxx.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
03/02/2016 01:21:24   www.xxxx.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
03/02/2016 01:21:44   www.xxxx.co.uk Validator         Processing component: 23% complete. Next update in 15 seconds.
03/02/2016 01:22:04   www.xxxx.co.uk Validator         Processing component: 82% complete. Next update in 15 seconds.
03/02/2016 01:23:04   www.xxxx.co.uk Validator         Processing component: 82% complete. Next update at Wed Feb 03 01:24:04 GMT 2016
03/02/2016 01:24:05   www.xxxx.co.uk Validator         Processing component: 88% complete. Next update at Wed Feb 03 01:25:05 GMT 2016
03/02/2016 01:25:05   www.xxxx.co.uk Validator         Processing component: 88% complete. Next update at Wed Feb 03 01:26:05 GMT 2016
03/02/2016 01:26:05   www.xxxx.co.uk Validator         Processing component: 88% complete. Next update at Wed Feb 03 01:27:05 GMT 2016
03/02/2016 01:27:05   www.xxxx.co.uk Validator         Processing component: 88% complete. Next update at Wed Feb 03 01:28:05 GMT 2016
03/02/2016 01:27:38   www.xxxx.co.uk Validator         100% completed
03/02/2016 01:27:38   www.xxxx.co.uk System            Total Progress: 22%
03/02/2016 01:27:38   www.xxxx.co.uk Threader          Starting component and waiting for resources
03/02/2016 01:27:52   www.xxxx.co.uk Threader          Started
03/02/2016 01:28:02   www.xxxx.co.uk Threader          Processing component: 0% complete. Next update in 15 seconds.
03/02/2016 01:28:22   www.xxxx.co.uk Threader          Processing component: 1% complete. Next update in 15 seconds.
03/02/2016 01:28:42   www.xxxx.co.uk Threader          Processing component: 3% complete. Next update in 15 seconds.
03/02/2016 01:29:02   www.xxxx.co.uk Threader          Processing component: 5% complete. Next update in 15 seconds.
03/02/2016 01:29:22   www.xxxx.co.uk Threader          Processing component: 8% complete. Next update in 15 seconds.
03/02/2016 01:29:42   www.xxxx.co.uk Threader          Processing component: 10% complete. Next update in 15 seconds.
03/02/2016 01:30:02   www.xxxx.co.uk Threader          Processing component: 13% complete. Next update in 15 seconds.
03/02/2016 01:31:02   www.xxxx.co.uk Threader          Processing component: 20% complete. Next update at Wed Feb 03 01:32:02 GMT 2016
03/02/2016 01:32:02   www.xxxx.co.uk Threader          Processing component: 27% complete. Next update at Wed Feb 03 01:33:02 GMT 2016
03/02/2016 01:33:02   www.xxxx.co.uk Threader          Processing component: 33% complete. Next update at Wed Feb 03 01:34:02 GMT 2016
03/02/2016 01:34:02   www.xxxx.co.uk Threader          Processing component: 46% complete. Next update at Wed Feb 03 01:35:02 GMT 2016
03/02/2016 01:34:53   www.xxxx.co.uk Threader          100% completed
03/02/2016 01:34:53   www.xxxx.co.uk System            Total Progress: 33%
03/02/2016 01:34:53   www.xxxx.co.uk SearchAnalytics   Starting component and waiting for resources
03/02/2016 01:35:05   www.xxxx.co.uk SearchAnalytics   Started
03/02/2016 01:35:15   www.xxxx.co.uk SearchAnalytics   Processing component: 11% complete. Next update in 15 seconds.
03/02/2016 01:35:35   www.xxxx.co.uk SearchAnalytics   Processing component: 31% complete. Next update in 15 seconds.
03/02/2016 01:35:55   www.xxxx.co.uk SearchAnalytics   Processing component: 35% complete. Next update in 15 seconds.
03/02/2016 01:36:15   www.xxxx.co.uk SearchAnalytics   Processing component: 38% complete. Next update in 15 seconds.
03/02/2016 01:36:35   www.xxxx.co.uk SearchAnalytics   Processing component: 40% complete. Next update in 15 seconds.
03/02/2016 01:36:55   www.xxxx.co.uk SearchAnalytics   Processing component: 40% complete. Next update in 15 seconds.
03/02/2016 01:37:15   www.xxxx.co.uk SearchAnalytics   Processing component: 40% complete. Next update in 15 seconds.
03/02/2016 01:38:15   www.xxxx.co.uk SearchAnalytics   Processing component: 52% complete. Next update at Wed Feb 03 01:39:15 GMT 2016
03/02/2016 01:39:15   www.xxxx.co.uk SearchAnalytics   Processing component: 52% complete. Next update at Wed Feb 03 01:40:15 GMT 2016
03/02/2016 01:40:15   www.xxxx.co.uk SearchAnalytics   Processing component: 54% complete. Next update at Wed Feb 03 01:41:15 GMT 2016
03/02/2016 01:41:06   www.xxxx.co.uk SearchAnalytics   100% completed
03/02/2016 01:41:06   www.xxxx.co.uk System            Total Progress: 44%
03/02/2016 01:41:06   www.xxxx.co.uk ImagingAnalysis   Starting component and waiting for resources
03/02/2016 01:41:20   www.xxxx.co.uk ImagingAnalysis   Started
03/02/2016 01:41:30   www.xxxx.co.uk ImagingAnalysis   Processing component: 0% complete. Next update in 15 seconds.
03/02/2016 01:41:50   www.xxxx.co.uk ImagingAnalysis   Processing component: 0% complete. Next update in 15 seconds.
03/02/2016 01:42:10   www.xxxx.co.uk ImagingAnalysis   Processing component: 7% complete. Next update in 15 seconds.
03/02/2016 01:42:30   www.xxxx.co.uk ImagingAnalysis   Processing component: 7% complete. Next update in 15 seconds.
03/02/2016 01:42:43   www.xxxx.co.uk ImagingAnalysis   100% completed
03/02/2016 01:42:43   www.xxxx.co.uk System            Total Progress: 55%
03/02/2016 01:42:43   www.xxxx.co.uk Statistics        Starting component and waiting for resources
03/02/2016 01:42:58   www.xxxx.co.uk Statistics        Started
03/02/2016 01:43:08   www.xxxx.co.uk Statistics        Processing component: 0% complete. Next update in 15 seconds.
03/02/2016 01:43:21   www.xxxx.co.uk Statistics        100% completed
03/02/2016 01:43:21   www.xxxx.co.uk System            Total Progress: 66%
03/02/2016 01:43:21   www.xxxx.co.uk DistributedMerge  Starting...
03/02/2016 01:43:31   www.xxxx.co.uk DistributedMerge  Processing component: 52% complete. Next update in 15 seconds.
03/02/2016 01:43:51   www.xxxx.co.uk DistributedMerge  Processing component: 98% complete. Next update in 15 seconds.
03/02/2016 01:44:05   www.xxxx.co.uk DistributedMerge  Processing component: 100% complete. Next update in 15 seconds.
03/02/2016 01:44:05   www.xxxx.co.uk DistributedMerge  completed
03/02/2016 01:44:05   www.xxxx.co.uk DistributedMerge  Completed
03/02/2016 01:44:05   www.xxxx.co.uk System            Total Progress: 77%
03/02/2016 01:44:05   www.xxxx.co.uk CentralizedMerge  Merging processing results...
03/02/2016 01:44:09   www.xxxx.co.uk CentralizedMerge  Cleaning up temporary data...
03/02/2016 01:44:09   www.xxxx.co.uk CentralizedMerge  Processing component: 100% complete. Next update in 15 seconds.
03/02/2016 01:44:09   www.xxxx.co.uk Consolidator      Acquiring write consolidation Lock
03/02/2016 01:44:09   www.xxxx.co.uk Consolidator      Acquired write consolidation Lock
03/02/2016 01:44:11   www.xxxx.co.uk Consolidator      Releasing write consolidation Lock
03/02/2016 01:44:11   www.xxxx.co.uk Consolidator      Released write consolidation Lock
03/02/2016 01:44:11   www.xxxx.co.uk Consolidator      Completed main operation and new review data is available...
03/02/2016 01:44:15   www.xxxx.co.uk System            Total Progress: 100%
03/02/2016 01:44:15   www.xxxx.co.uk System            Processing Summary
03/02/2016 01:44:15   www.xxxx.co.uk System                        Indexer       09h 57m 04.780s
03/02/2016 01:44:15   www.xxxx.co.uk System                      Validator           07m 55.259s
03/02/2016 01:44:15   www.xxxx.co.uk System                       Threader           07m 14.638s
03/02/2016 01:44:15   www.xxxx.co.uk System                SearchAnalytics           06m 13.027s
03/02/2016 01:44:15   www.xxxx.co.uk System                ImagingAnalysis           01m 37.454s
03/02/2016 01:44:15   www.xxxx.co.uk System                     Statistics               37.742s
03/02/2016 01:44:15   www.xxxx.co.uk System               DistributedMerge               44.272s
03/02/2016 01:44:15   www.xxxx.co.uk System               CentralizedMerge               03.557s
03/02/2016 01:44:15   www.xxxx.co.uk System                   Consolidator               02.728s
03/02/2016 01:44:15   www.xxxx.co.uk System            Total Processing Time : 10h 21m 33.457s
03/02/2016 01:44:15   Completed normally: KLUMP045 BM TEST : Process documents from "Batch_0001" in batch "Batch_0001".

			    
 
