Job ID: 1.5.18.5702956011984257026 
Case: 2015-TEST-CASE (TEST) 
Appliance: www.dummysite.co.uk 
29/01/2016 13:57:21   Starting scheduled job: 2015-TEST-CASE (TEST) : Process documents from "Batch_Test_0001" in batch "Batch_Test_0001".
31/01/2016 04:41:46   www.dummysite.co.uk Indexer           Processed 45,315 documents (137.66 GB)
31/01/2016 05:17:06   www.dummysite.co.uk Indexer           Processed 45,822 documents (139.72 GB)
31/01/2016 05:44:59   www.dummysite.co.uk Indexer           Processed 46,377 documents (141.58 GB)
31/01/2016 06:43:07   www.dummysite.co.uk Indexer           Processed 46,914 documents (143.65 GB)
31/01/2016 07:26:42   www.dummysite.co.uk Indexer           Processed 47,418 documents (145.74 GB)
31/01/2016 08:15:35   www.dummysite.co.uk Indexer           Processed 47,944 documents (147.84 GB)
31/01/2016 09:11:04   www.dummysite.co.uk Indexer           Processed 48,446 documents (149.96 GB)
31/01/2016 09:42:13   www.dummysite.co.uk Indexer           Processed 48,965 documents (151.77 GB)
31/01/2016 10:29:09   www.dummysite.co.uk Indexer           Processed 49,480 documents (153.88 GB)
31/01/2016 11:16:05   www.dummysite.co.uk Indexer           Processed 49,994 documents (155.81 GB)
31/01/2016 11:54:56   www.dummysite.co.uk Indexer           Processed 50,529 documents (157.49 GB)
31/01/2016 12:19:43   www.dummysite.co.uk Indexer           Processed 51,057 documents (159.46 GB)
31/01/2016 12:53:05   www.dummysite.co.uk Indexer           Processed 51,562 documents (161.18 GB)
31/01/2016 14:01:36   www.dummysite.co.uk Indexer           Processed 52,067 documents (163.35 GB)
31/01/2016 14:41:57   www.dummysite.co.uk Indexer           Processed 52,578 documents (165.47 GB)
31/01/2016 15:17:02   www.dummysite.co.uk Indexer           Processed 53,090 documents (167.49 GB)
31/01/2016 15:44:41   www.dummysite.co.uk Indexer           Processed 53,593 documents (169.60 GB)
31/01/2016 16:21:56   www.dummysite.co.uk Indexer           Processed 54,095 documents (171.62 GB)
31/01/2016 17:02:39   www.dummysite.co.uk Indexer           Processed 54,617 documents (173.66 GB)
31/01/2016 17:41:52   www.dummysite.co.uk Indexer           Processed 55,121 documents (175.69 GB)
31/01/2016 18:16:03   www.dummysite.co.uk Indexer           Processed 55,635 documents (177.71 GB)
31/01/2016 18:55:44   www.dummysite.co.uk Indexer           Processed 56,145 documents (179.70 GB)
31/01/2016 19:24:23   www.dummysite.co.uk Indexer           Processed 56,647 documents (181.43 GB)
31/01/2016 19:57:03   www.dummysite.co.uk Indexer           Processed 57,151 documents (183.14 GB)
31/01/2016 20:32:24   www.dummysite.co.uk Indexer           Processed 57,669 documents (185.02 GB)
31/01/2016 21:04:56   www.dummysite.co.uk Indexer           Processed 58,208 documents (187.28 GB)
31/01/2016 21:59:02   www.dummysite.co.uk Indexer           Processed 58,731 documents (189.42 GB)
31/01/2016 22:27:42   www.dummysite.co.uk Indexer           Processed 59,240 documents (191.34 GB)
31/01/2016 22:50:30   www.dummysite.co.uk Indexer           Processed 59,742 documents (193.06 GB)
31/01/2016 23:30:11   www.dummysite.co.uk Indexer           Processed 60,247 documents (195.16 GB)
01/02/2016 00:05:01   www.dummysite.co.uk Indexer           Processed 60,766 documents (197.06 GB)
01/02/2016 00:39:12   www.dummysite.co.uk Indexer           Processed 61,268 documents (199.14 GB)
01/02/2016 01:04:10   www.dummysite.co.uk Indexer           Processed 61,779 documents (200.87 GB)
01/02/2016 01:31:42   www.dummysite.co.uk Indexer           Processed 62,284 documents (202.77 GB)
01/02/2016 01:56:22   www.dummysite.co.uk Indexer           Processed 62,805 documents (204.72 GB)
01/02/2016 02:24:32   www.dummysite.co.uk Indexer           Processed 63,320 documents (206.54 GB)
01/02/2016 02:53:03   www.dummysite.co.uk Indexer           Processed 63,852 documents (208.33 GB)
01/02/2016 03:31:15   www.dummysite.co.uk Indexer           Processed 64,353 documents (210.48 GB)
01/02/2016 04:06:47   www.dummysite.co.uk Indexer           Processed 64,879 documents (212.82 GB)
01/02/2016 04:44:22   www.dummysite.co.uk Indexer           Processed 65,393 documents (215.06 GB)
01/02/2016 05:20:24   www.dummysite.co.uk Indexer           Processed 65,897 documents (216.93 GB)
01/02/2016 06:08:09   www.dummysite.co.uk Indexer           Processed 66,403 documents (219.08 GB)
01/02/2016 06:34:37   www.dummysite.co.uk Indexer           Processed 66,922 documents (221.04 GB)
01/02/2016 07:06:57   www.dummysite.co.uk Indexer           Processed 67,436 documents (222.89 GB)
01/02/2016 07:23:11   www.dummysite.co.uk Indexer           Processed 68,074 documents (223.67 GB)
01/02/2016 07:40:46   www.dummysite.co.uk Indexer           Processed 68,584 documents (224.99 GB)
01/02/2016 07:54:10   www.dummysite.co.uk Indexer           Processed 69,156 documents (225.69 GB)
01/02/2016 07:59:22   www.dummysite.co.uk Indexer           Processed 69,694 documents (226.35 GB)
01/02/2016 08:11:06   www.dummysite.co.uk Indexer           Processed 70,419 documents (227.33 GB)
01/02/2016 08:18:50   www.dummysite.co.uk Indexer           Processed 71,094 documents (227.76 GB)
01/02/2016 08:23:01   www.dummysite.co.uk Indexer           Processed 71,610 documents (228.32 GB)
01/02/2016 08:25:52   www.dummysite.co.uk Indexer           Processed 72,236 documents (228.76 GB)
01/02/2016 08:31:24   www.dummysite.co.uk Indexer           Processed 72,750 documents (229.06 GB)
01/02/2016 08:38:27   www.dummysite.co.uk Indexer           Processed 73,445 documents (229.79 GB)
01/02/2016 08:40:37   www.dummysite.co.uk Indexer           Processed 73,977 documents (230.17 GB)
01/02/2016 08:41:58   www.dummysite.co.uk Indexer           Processed 74,479 documents (230.36 GB)
01/02/2016 08:43:38   www.dummysite.co.uk Indexer           Processed 74,991 documents (230.55 GB)
01/02/2016 08:48:30   www.dummysite.co.uk Indexer           Processed 75,542 documents (231.11 GB)
01/02/2016 08:57:06   www.dummysite.co.uk Indexer           Processed 76,047 documents (231.44 GB)
01/02/2016 09:01:31   www.dummysite.co.uk Indexer           Processed 76,581 documents (232.00 GB)
01/02/2016 09:14:16   www.dummysite.co.uk Indexer           Processed 77,146 documents (232.54 GB)
01/02/2016 09:27:40   www.dummysite.co.uk Indexer           Processed 77,651 documents (233.12 GB)
01/02/2016 09:37:33   www.dummysite.co.uk Indexer           Processed 78,234 documents (233.65 GB)
01/02/2016 09:50:08   www.dummysite.co.uk Indexer           Processed 78,854 documents (234.26 GB)
01/02/2016 09:52:48   www.dummysite.co.uk Indexer           Processed 79,395 documents (234.58 GB)
01/02/2016 09:58:41   www.dummysite.co.uk Indexer           Processed 79,908 documents (235.10 GB)
01/02/2016 10:10:16   www.dummysite.co.uk Indexer           Processed 80,414 documents (235.71 GB)
01/02/2016 10:19:19   www.dummysite.co.uk Indexer           Processed 80,926 documents (236.15 GB)
01/02/2016 10:34:44   www.dummysite.co.uk Indexer           Processed 81,494 documents (237.16 GB)
01/02/2016 11:14:25   www.dummysite.co.uk Indexer           Processed 82,020 documents (239.09 GB)
